scene,round,frame,frame_wall_ms
monster,1,109,387.559750
monster,1,110,390.987458
monster,1,111,390.185458
monster,1,112,383.432167
monster,1,113,384.264542
monster,1,114,387.230750
monster,1,115,386.326541
monster,1,116,386.893584
monster,1,117,387.678459
monster,1,118,387.317584
monster,1,119,386.887417
monster,2,0,3942.877000
monster,2,1,393.896667
monster,2,2,396.996625
monster,2,3,389.899625
monster,2,4,394.863541
monster,2,5,398.967125
monster,2,6,394.029708
monster,2,7,398.591375
monster,2,8,392.814042
monster,2,9,399.993833
monster,2,10,396.860459
monster,2,11,393.870875
monster,2,12,397.445417
monster,2,13,399.109416
monster,2,14,393.045875
monster,2,15,397.787292
monster,2,16,392.555000
monster,2,17,394.071250
monster,2,18,397.529000
monster,2,19,394.415875
monster,2,20,398.961750
monster,2,21,393.150375
monster,2,22,394.348750
monster,2,23,394.603916
monster,2,24,394.467500
monster,2,25,395.608166
monster,2,26,397.259375
monster,2,27,394.946292
monster,2,28,395.969042
monster,2,29,396.759625
monster,2,30,395.726500
monster,2,31,395.176791
monster,2,32,394.380334
monster,2,33,396.616000
monster,2,34,393.663500
monster,2,35,397.518959
monster,2,36,396.815167
monster,2,37,396.237167
monster,2,38,394.848917
monster,2,39,392.036875
monster,2,40,393.466750
monster,2,41,397.064125
monster,2,42,395.260916
monster,2,43,394.826750
monster,2,44,393.795584
monster,2,45,397.963541
monster,2,46,400.049958
monster,2,47,400.919292
monster,2,48,398.480209
monster,2,49,398.723250
monster,2,50,398.607000
monster,2,51,399.681042
monster,2,52,392.679125
monster,2,53,394.138666
monster,2,54,394.997917
monster,2,55,394.588209
monster,2,56,396.837167
monster,2,57,398.638333
monster,2,58,395.638000
monster,2,59,395.128458
monster,2,60,393.005166
monster,2,61,398.690500
monster,2,62,397.078459
monster,2,63,395.394584
monster,2,64,391.486958
monster,2,65,397.243417
monster,2,66,395.185459
monster,2,67,394.858000
monster,2,68,396.289458
monster,2,69,393.143292
monster,2,70,398.248916
monster,2,71,398.743500
monster,2,72,397.323500
monster,2,73,397.111583
monster,2,74,393.986541
monster,2,75,395.661875
monster,2,76,398.121250
monster,2,77,393.369750
monster,2,78,399.469666
monster,2,79,395.964500
monster,2,80,395.125166
monster,2,81,395.538250
monster,2,82,394.716500
monster,2,83,397.703875
monster,2,84,396.530583
monster,2,85,398.036125
monster,2,86,399.868250
monster,2,87,393.778708
monster,2,88,396.308750
monster,2,89,396.895083
monster,2,90,398.586875
monster,2,91,398.150875
monster,2,92,394.820417
monster,2,93,399.645000
monster,2,94,395.059375
monster,2,95,394.884375
monster,2,96,394.860917
monster,2,97,397.900125
monster,2,98,397.378458
monster,2,99,392.678583
monster,2,100,395.355041
monster,2,101,398.765208
monster,2,102,394.132167
monster,2,103,398.732042
monster,2,104,397.751584
monster,2,105,395.645041
monster,2,106,399.472250
monster,2,107,393.191625
monster,2,108,396.355084
monster,2,109,396.864208
monster,2,110,396.669042
monster,2,111,395.900875
monster,2,112,397.874000
monster,2,113,395.073958
monster,2,114,391.660333
monster,2,115,393.754791
monster,2,116,393.132750
monster,2,117,397.486375
monster,2,118,397.011667
monster,2,119,397.079958
